Year,Iraq,Pakistan,Somalia,Yemen,Afghanistan,Libya
2000,9.11815,27.00096,76.08464,28.12269,42.65551,4.064068
2001,8.841565,26.07844,76.08464,26.19685,40.90914,3.945811
2002,8.572889,25.1479,76.08464,24.31886,39.1344,3.826016
2003,8.309526,24.25322,76.08464,22.49459,37.3456,3.690619
2004,8.044437,23.36267,76.08464,20.7348,35.54733,3.530395
2005,7.771465,22.5176,76.05758,19.05491,33.75264,3.348487
2006,7.501311,21.67076,75.79297,17.46098,31.97911,3.144444
2007,7.2201,20.8284,74.64795,15.99355,30.25685,2.930604
2008,6.926659,20.00809,72.60857,14.66874,28.54977,2.730933
2009,6.621438,19.20103,70.23462,13.61468,26.86226,2.559097
2010,6.317362,18.40338,67.54978,12.92831,25.26471,2.416494
2011,6.037556,17.63857,64.79523,12.66952,23.73225,3.799843
2012,5.765386,16.89999,62.10736,12.59698,22.25606,2.189812
2013,5.499304,16.19698,59.49943,12.62272,20.84173,2.097393
2014,5.235062,15.49931,57.15015,12.6266,19.48403,2.010017
2015,4.99096,14.84352,54.79658,12.65932,18.21862,1.934139
2016,4.76136,14.18429,52.74676,12.67937,17.08603,1.859105
2017,4.548646,13.5028,50.70245,12.69988,16.05086,1.793253
2018,4.338194,12.86343,48.68553,12.70802,15.13594,1.734411